Species	Entrez.ID	Gene	Description	Evidence..PMID.	Tier	References	Function..PMID.
85	Homo sapiens	87178	PNPT1	Polyribonucleotide nucleotidyltransferase 1, mitochondrial	HTS (30108179), immunofluorescence with S9.6 (30301808), DRIP-qPCR (30301808), RNaseH sensitivity (30301808)	2	30108179, 30301808	preventing harmful mitochondrial R-loops (30301808)
86	Homo sapiens	84271	POLDIP3	Polymerase delta-interacting protein 3	HTS (30108179), immunofluorescence with S9.6 (32561545), RNaseH sensitivity (32561545), GFP-RNaseH-HB (32561545), dot blot with S9.6 (32561545), DRIP-qPCR (32561545)	2	30108179, 32561545	putative component of THO/TREX complex, interaction with RTEL1 (32561545)
87	Homo sapiens	25913	POT1	Protection of telomeres protein 1	dot blot with S9.6 (33073402), RNaseH sensitivity (33073402)	2	33073402	preventing association of telomeres with recombination enzymes, which cause formation of branched telomeric DNA, R-loop formation, telomere elongation and telomere fragility (33073402)
88	Homo sapiens	5514	PPP1R10	Serine/threonine-protein phosphatase 1 regulatory subunit 10	HTS (30108179), immunofluorescence with S9.6 (30541148), dot blot with S9.6 (30541148)	2	30108179, 30541148	regulating transcription and preventing R-loop formation (30541148)
89	Homo sapiens	201973	PRIMPOL	DNA-directed primase/polymerase protein	DRIP-qPCR (30478192), RNaseH sensitivity (30478192)	2	30478192	restricting R-loop formation by repriming (30478192)
90	Homo sapiens	5888	RAD51	DNA repair protein RAD51 homolog 1	DRIP-qPCR (33057192), strand invasion assay (33057192), RNaseH sensitivity (33057192)	2	33057192	promoting the association of endogenous TERRA with telomeres through R-loop formation (33057192)
91	Homo sapiens	5883	RAD9A	Cell cycle checkpoint control protein RAD9A	immunofluorescence with S9.6 (31338941), DRIP-qPCR (31338941)	2	31338941	safeguarding genome stability against harmful RNA:DNA hybrids (31338941)
92	Homo sapiens	10432	RBM14	RNA-binding protein 14	HTS (29742442, 30108179), DRIP-qPCR (32094185), RNaseH sensitivity (32094185), DRIP-seq (32094185)	2	29742442, 30108179, 32094185	required for RNA:DNA hybrid generation at DNA damage sites (32094185)
93	Homo sapiens	9939	RBM8A	RNA-binding protein 8A	HTS (29742442), immunofluorescence with S9.6 (30901577), RNaseH sensitivity (30901577), dot blot with S9.6 (30901577)	2	29742442, 30901577	preventing R-loop accumulation during transcription (30901577)
94	Homo sapiens	9400	RECQL5	ATP-dependent DNA helicase Q5	DRIP-qPCR (25851487), RNaseH sensitivity (25851487)	2	25851487	promoting TOP1 SUMOylation by facilitating the interaction between PIAS1, SRSF1 and TOP1 (25851487)
95	Homo sapiens	165918	RNF168	E3 ubiquitin-protein ligase RNF168	immunofluorescence with S9.6 (33529165), RNaseH sensitivity (33529165), DRIP-qPCR (33529165)	2	33529165	ubiquitylating DHX9 to facilitate its recruitment to R-loop-prone genomic loci (33529165)
96	Homo sapiens	8732	RNGTT	mRNA-capping enzyme	RNaseH sensitivity (17978174), PAGE (17978174)	2	17978174	RNA capping enzyme to promote R-loop formation in vitro (17978174)
97	Homo sapiens	58490	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B	immunofluorescence with S9.6 (24589584), RNaseH sensitivity (24589584)	2	24589584	RPRD1B loss results in increased basal R-loop levels, DSBs, activated DNA-damage responses and enhanced genomic instability (24589584)
98	Homo sapiens	79595	SAP130	Histone deacetylase complex subunit SAP130	immunofluorescence with S9.6 (29074626), RNaseH sensitivity (29074626), DRIP-qPCR (29074626)	2	29074626	interacting with THO complex to prevent R-loops (29074626)
99	Homo sapiens	25942	SIN3A	Paired amphipathic helix protein Sin3a	immunofluorescence with S9.6 (29074626), RNaseH sensitivity (29074626), DRIP-qPCR (29074626)	2	29074626	interacting with THO complex to prevent R-loops (29074626)
100	Homo sapiens	51547	SIRT7	NAD-dependent protein deacetylase sirtuin-7	immunofluorescence with S9.6 (28790157), in vitro helicase assay (28790157), RNaseH sensitivity (28790157), DRIP-qPCR (28790157)	2	28790157	deacetylating DDX21, augmenting helicase activity to unwind R-loops (28790157)
101	Homo sapiens	10569	SLU7	Pre-mRNA-splicing factor SLU7	immunofluorescence with S9.6 (30657957), RNaseH sensitivity (30657957), dot blot with S9.6 (30657957)	2	30657957	protecting cells from R-loop formation and DNA damage induction (30657957)
102	Homo sapiens	50485	SMARCAL1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1	HTS (30108179), dot blot with S9.6 (31515241), RNaseH sensitivity (31515241)	2	30108179, 31515241	counteracting accumulation of R-loops and replication-transcription conflicts (31515241)
103	Homo sapiens	6627	SNRPA1	U2 small nuclear ribonucleoprotein A	HTS (29742442), GFP-RNaseH1-HB (27991914), immunofluorescence with S9.6 (27991914)	2	27991914, 29742442	splicing factor, safeguarding genome stability (27991914)
104	Homo sapiens	6733	SRPK2	SRSF protein kinase 2	HTS (29742442), immunofluorescence with S9.6 (28076779), RNaseH sensitivity (28076779)	2	29742442, 28076779	phosphorylation of DDX23 by SRPK2 is necessary to suppress R-loops (28076779)
105	Homo sapiens	10274	STAG1	Cohesin subunit SA-1	fluorescence anisotropy (32352519), AFM imaging (32352519), DNA tightrope assays (32352519)	2	32352519	binding directly to R-loops (32352519)
106	Homo sapiens	10735	STAG2	Cohesin subunit SA-2	fluorescence anisotropy (32352519), AFM imaging (32352519), DNA tightrope assays (32352519)	2	32352519	binding directly to R-loops (32352519)
107	Homo sapiens	6832	SUPV3L1	ATP-dependent RNA helicase SUPV3L1, mitochondrial	immunofluorescence with S9.6 (30301808), DRIP-qPCR (30301808), RNaseH sensitivity (30301808)	2	30301808	mitochondrial RNA helicase, preventing harmful mitochondrial R-loops (30301808)
108	Homo sapiens	6917	TCEA1	Transcription elongation factor A protein 1	DRIP-qPCR (31519522), RNaseH sensitivity (31519522)	2	31519522	preventing transcription stress and R-loop accumulation (31519522)
109	Homo sapiens	6949	TCOF1	Treacle protein	HTS (29742442, 30108179), immunofluorescence with S9.6 (33082515), RNaseH sensitivity (33082515), dot blot with S9.6 (33082515)	2	29742442, 30108179, 33082515	binding to Pol II and suppressing TERRA transcription (33082515)
110	Homo sapiens	7013	TERF1	Telomeric repeat-binding factor 1	dot blot with S9.6 (29358759), RNaseH sensitivity (29358759)	2	29358759	participating in chromosome end protection by averting TRF2-dependent telomeric R-loops (29358759)
111	Homo sapiens	7157	TP53	Cellular tumor antigen p53	DRIP-qPCR (33775872), in vitro nuclease assay (33775872)	2	33775872	suppressing R-loop by degrading the RNA component of RNA:DNA hybrid (33775872)
112	Homo sapiens	7454	WAS	Wiskott-Aldrich syndrome protein	HTS (30108179), immunofluorescence with S9.6 (29248492), RNaseH sensitivity (29248492), DRIP-qPCR (29248492), PLA with anti-BLM and S9.6 antibodies (29248492), in vitro helicase assay (29248492)	2	29248492, 30108179	preventing R-loop formation to safeguard genome stability (29248492)
113	Homo sapiens	55339	WDR33	pre-mRNA 3' end processing protein WDR33	GFP-RNaseH1-D210N (30639241), immunofluorescence with S9.6 (30639241)	2	30639241	preventing R-loops and replication-stress-associated genome instability (30639241)
114	Homo sapiens	7520	XRCC5	X-ray repair cross-complementing protein 5	HTS (30108179), DRIP-qPCR (32094185), RNaseH sensitivity (32094185), DRIP-seq (32094185)	2	30108179, 32094185	interacting with RNA:DNA hybrids at DNA damage sites (32094185)
115	Homo sapiens	51441	YTHDF2	YTH domain-containing family protein 2	HTS (30108179), immunofluorescence with S9.6 (31844323), RNaseH sensitivity (31844323), co-IP (31844323), EMSA (31844323)	2	30108179, 31844323	preventing accumulation of m6A-containing RNA:DNA hybrids (31844323)
116	Homo sapiens	9841	ZBTB24	Zinc finger and BTB domain-containing protein 24	immunofluorescence with S9.6 (33082427), R-ChIP-qPCR (33082427)	2	33082427	regulating transcription of CDCA7 (33082427) 
117	Homo sapiens	7756	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	HTS (29742442, 30108179), immunofluorescence with S9.6 (25918225), RNaseH sensitivity (25918225)	2	25918225, 29742442, 30108179	regulating splicing and preventing R-loop-mediated DNA damage (25918225)
118	Homo sapiens	104	ADARB1	Double-stranded RNA-specific editase 1	HTS (29742442), in vitro editing assay (28132026)	3	28132026, 29742442	binding to RNA:DNA hybrid and editing the DNA strand (28132026) 
119	Homo sapiens	57379	AICDA	Single-stranded DNA cytosine deaminase	EMSA (29161581)	3	29161581	DNA/RNA hybrid substrates modulate the catalytic activity of purified AICDA (29161581)
120	Homo sapiens	121642	ALKBH2	DNA oxidative demethylase ALKBH2	in vitro oxidative demethylation assay (15229293)	3	15229293	catelyzing oxidative demethylation of hybrids as well  (15229293)
121	Homo sapiens	221120	ALKBH3	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3	in vitro oxidative demethylation assay (15229293)	3	15229293	catelyzing oxidative demethylation of hybrids as well  (15229293)
122	Homo sapiens	328	APEX1	DNA-(apurinic or apyrimidinic site) endonuclease	HTS (30108179), in vitro enzymatic assay (32763971)	3	32763971, 30108179	incising an abasic site in trinucleotide repeat R-loops during BER (32763971)
123	Homo sapiens	54955	C1orf109	Uncharacterized protein C1orf109	immunofluorescence with S9.6 (32761833)	3	32761833	triggering R-loop accumulation by competing with PARP1 to bind to DHX9 (32761833)
124	Homo sapiens	10498	CARM1	Histone-arginine methyltransferase CARM1	DRIP-qPCR (24507716)	3	24507716	recruiting TOP3B and preventing R-loop formation (24507716)
125	Homo sapiens	79577	CDC73	Parafibromin	immunofluorescence with S9.6 (30541148)	3	30541148	interacting with pol II, regulating ATR activity and R-loop formation (30541148)
126	Homo sapiens	1111	CHEK1	Serine/threonine-protein kinase Chk1	immunofluorescence with S9.6 (31338941)	3	31338941	safeguarding genome stability against harmful RNA:DNA hybrids (31338941)
127	Homo sapiens	11200	CHEK2	Serine/threonine-protein kinase Chk2	immunofluorescence with S9.6 (31338941)	3	31338941	safeguarding genome stability against harmful RNA:DNA hybrids (31338941)
128	Homo sapiens	1643	DDB2	DNA damage-binding protein 2	HTS (30108179), immunofluorescence with S9.6 (31338941)	3	30108179, 31338941	safeguarding genome stability against harmful RNA:DNA hybrids (31338941)
129	Homo sapiens	1663	DDX11	ATP-dependent DNA helicase DDX11	in vitro helicase assay (10648783)	3	10648783	RNA helicase, unwinding RNA:DNA hybrids (10648783)
130	Homo sapiens	8886	DDX18	ATP-dependent RNA helicase DDX18	HTS (29742442, 30108179), immunofluorescence with S9.6 (30108179)	3	29742442, 30108179	RNA helicase (30108179)
131	Homo sapiens	51428	DDX41	Probable ATP-dependent RNA helicase DDX41	HTS (29742442, 30108179), RNaseH sensitivity (29871919)	3	29742442, 29871919, 30108179	sensing cytosolic RNA:DNA hybrids for antiviral gene expression (29871919)
132	Homo sapiens	55510	DDX43	Probable ATP-dependent RNA helicase DDX43	in vitro helicase assay (28468824)	3	28468824	RNA helicase, unwinding RNA:DNA hybrids (28468824)
133	Homo sapiens	51202	DDX47	Probable ATP-dependent RNA helicase DDX47	HTS (29742442, 30108179), immunofluorescence with S9.6 (30431240)	3	29742442, 30108179, 30431240	RNA helicase, interacting with FANCD2 and suppressing R-loop level (30431240)
134	Homo sapiens	56919	DHX33	ATP-dependent RNA helicase DHX33	DRIP-PCR (32312884)	3	32312884	recruiting GADD45A for DNA demethylation (32312884)
135	Homo sapiens	1789	DNMT3B	DNA (cytosine-5)-methyltransferase 3B	immunofluorescence with S9.6 (33082427)	3	33082427	DNA methyltransferase, preventing R-loop formation (33082427)
136	Homo sapiens	29102	DROSHA	Ribonuclease 3	DRIP-seq (29416038)	3	29416038	driving the formation of DNA:RNA hybrids around DNA break sites to facilitate DNA repair (29416038)
137	Homo sapiens	2021	ENDOG	Endonuclease G, mitochondrial	in vitro R-loop cleavage assay (12444964)	3	12444964	preferentially producing double-stranded breaks in R-loops (12444964)
138	Homo sapiens	2074	ERCC6	DNA excision repair protein ERCC-6	EMSA (30297739)	3	30297739	binding R-loops at damage sites (30297739)
139	Homo sapiens	51010	EXOSC3	Exosome complex component RRP40	HTS (30108179), DRIP-qPCR (25957685)	3	25957685, 30108179	preventing R-loop formation by clearance of eRNA (25957685)
140	Homo sapiens	2189	FANCG	Fanconi anemia group G protein	immunofluorescence with S9.6 (31338941)	3	31338941	mediating DNA damage reponse (31338941)
141	Homo sapiens	55120	FANCL	E3 ubiquitin-protein ligase FANCL	immunofluorescence with S9.6 (26593718)	3	26593718	coordinating replication and transcription (26593718)
142	Homo sapiens	2926	GRSF1	G-rich sequence factor 1	immunofluorescence with S9.6 (30715486)	3	30715486	GRSF1 depletion results in RNA processing defects and increased levels of dsRNA and RNA:DNA hybrids (30715486)
143	Homo sapiens	3184	HNRNPD	Heterogeneous nuclear ribonucleoprotein D0	HTS (29742442, 30108179), DRIP-qPCR (30799487)	3	29742442, 30108179, 30799487	regulating R-loops for DNA damage repair (30799487), interacting with HNRNPU (30799487)
144	Homo sapiens	84148	KAT8	Histone acetyltransferase KAT8	immunofluorescence with S9.6 (29298824)	3	29298824	preventing R-loop formation to safeguard genome stability (29298824)
145	Homo sapiens	23135	KDM6B	Lysine-specific demethylase 6B	DRIP-qPCR (31251802)	3	31251802	interacting with DDX21 to resolve R-loop (31251802)
146	Homo sapiens	9656	MDC1	Mediator of DNA damage checkpoint protein 1	immunofluorescence with S9.6 (31338941)	3	31338941	safeguarding genome stability against harmful RNA:DNA hybrids (31338941)
147	Homo sapiens	4361	MRE11	Double-strand break repair protein MRE11	immunofluorescence with S9.6 (32023457)	3	32023457	suppressing DNA damage at oncogene-induced R-loops (32023457)
148	Homo sapiens	4613	MYCN	N-myc proto-oncogene protein	DRIP-qPCR (30894746)	3	30894746	promoting Pol II release (30894746)
149	Homo sapiens	114548	NLRP3	NACHT, LRR and PYD domains-containing protein 3	immunofluorescence with S9.6 (24828532)	3	24828532	bacterial RNA:DNA hybrids are activators of the NLRP3 inflammasome (24828532)
150	Homo sapiens	4869	NPM1	Nucleophosmin	HTS (29742442, 30108179), pull-down assay (30108179)	3	29742442, 30108179	interacting with RNA:DNA hybrids directly or indirectly (30108179)
151	Homo sapiens	7468	NSD2	Histone-lysine N-methyltransferase NSD2	HTS (29742442), pull-down assay (29742442)	3	29742442	interacting with RNA:DNA hybrids directly or indirectly (29742442)
152	Homo sapiens	4968	OGG1	N-glycosylase/DNA lyase	EMSA (31652414)	3	31652414	RNA:DNA hybrid binding-mediated epigenetic regulation (31652414)
153	Homo sapiens	142	PARP1	Poly [ADP-ribose] polymerase 1	HTS (29742442), pull-down assay (29742442)	3	29742442	interacting with RNA:DNA hybrids directly or indirectly (29742442)
154	Homo sapiens	5111	PCNA	Proliferating cell nuclear antigen	HTS (29742442), PLA with anti-PCNA and S9.6 antibodies (32542338)	3	29742442, 32542338	interacting with RNA:DNA hybrids directly or indirectly (32542338)
155	Homo sapiens	5253	PHF2	Lysine-specific demethylase PHF2	immunofluorescence with S9.6 (31488723)	3	31488723	H3K9me2 demethylase, preventing R-loop-induced DNA damage (31488723)
156	Homo sapiens	84844	PHF5A	PHD finger-like domain-containing protein 5A	immunofluorescence with S9.6 (27991914)	3	27991914	safeguarding genome stability (27991914)
157	Homo sapiens	84295	PHF6	PHD finger protein 6	RNaseH sensitivity (23229552)	3	23229552	restricting R-loops at rDNA locus to preserve genome stability (23229552)
158	Homo sapiens	80119	PIF1	ATP-dependent DNA helicase PIF1	in vitro helicase assay (16522649)	3	16522649	unwinding potentially the RNA:DNA duplex formed by telomerase RNA and telomeric DNA (16522649)
159	Homo sapiens	5378	PMS1	PMS1 protein homolog 1	immunofluorescence with S9.6 (31338941)	3	31338941	safeguarding genome stability against harmful RNA:DNA hybrids (31338941)
160	Homo sapiens	11128	POLR3A	DNA-directed RNA polymerase III subunit RPC1	EGFP-HB-NLS (33626331)	3	33626331	synthesizing the RNA strand in RNA:DNA hybrid at DSBs (33626331)
161	Homo sapiens	5591	PRKDC	DNA-dependent protein kinase catalytic subunit	HTS (29742442, 30108179), pull-down assay (29742442)	3	29742442, 30108179	interacting with RNA:DNA hybrids directly or indirectly (29742442)
162	Homo sapiens	3276	PRMT1	Protein arginine N-methyltransferase 1	DRIP-qPCR (24507716), HTS (30108179)	3	24507716, 30108179	recruiting TOP3B (24507716)
163	Homo sapiens	5810	RAD1	Cell cycle checkpoint protein RAD1	immunofluorescence with S9.6 (31338941)	3	31338941	safeguarding genome stability against harmful RNA:DNA hybrids (31338941)
164	Homo sapiens	5965	RECQL	ATP-dependent DNA helicase Q1	HTS (30108179), pull-down assay (30108179)	3	30108179	DNA helicase, directly or indirectly interact with RNA:DNA hybrids (30108179)
165	Homo sapiens	9401	RECQL4	ATP-dependent DNA helicase Q4	DRIP-qPCR (33046774)	3	33046774	RNA:DNA hybrid annealing and unwinding activities (33046774)
166	Homo sapiens	10921	RNPS1	RNA-binding protein with serine-rich domain 1	HTS (29742442), AGE (17959926)	3	17959926, 29742442	preventing R-loop formation (17959926)
167	Homo sapiens	9667	SAFB2	Scaffold attachment factor B2	HTS (29742442), pull-down assay (29742442)	3	29742442	interacting with RNA:DNA hybrids directly or indirectly (29742442)
168	Homo sapiens	25939	SAMHD1	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1	DRIP-seq (26182405)	3	26182405	function at stalled replication fork to promote the resection of gapped or reversed forks, causal gene of AGS (26182405)
169	Homo sapiens	7979	SEM1	26S proteasome complex subunit SEM1	GFP-RNaseH1-HB (24896180)	3	24896180	associating with BRCA2 (24896180)
170	Homo sapiens	10946	SF3A3	Splicing factor 3A subunit 3	HTS (30108179), immunofluorescence with S9.6 (27991914)	3	27991914, 30108179	splicing factor, preventing R-loop formation and safeguarding genome stability (27991914)
171	Homo sapiens	6667	SP1	Transcription factor Sp1	EMSA (7536342)	3	7536342	RNA:DNA hybrid binding (7536342)
172	Homo sapiens	6742	SSBP1	Single-stranded DNA-binding protein, mitochondrial	HTS (30108179), immunofluorescence with S9.6 (30715486)	3	30108179, 30715486	SSBP1 depletion results in RNA processing defects and increased levels of dsRNA and RNA:DNA hybrids (30715486)
173	Homo sapiens	6749	SSRP1	FACT complex subunit SSRP1	HTS (29742442, 30108179), DRIP-qPCR (24636987)	3	24636987, 29742442, 30108179	resolution of R-loop-mediated transcription-replication conflicts (24636987)
174	Homo sapiens	11198	SUPT16H	FACT complex subunit SPT16	HTS (29742442, 30108179), DRIP-qPCR (24636987)	3	24636987, 29742442, 30108179	resolution of R-loop-mediated transcription-replication conflicts (24636987)
175	Homo sapiens	6829	SUPT5H	Transcription elongation factor SPT5	HTS (30108179), biolayer interferometry (30108179)	3	30108179	regulating transcription pause release and elongation (30108179)
176	Homo sapiens	6830	SUPT6H	Transcription elongation factor SPT6	immunofluorescence with S9.6 (27991914)	3	27991914	safeguarding genome stability (27991914)
177	Homo sapiens	81550	TDRD3	Tudor domain-containing protein 3	DRIP-qPCR (24507716)	3	24507716	interacting with TOP3B (24507716)
178	Homo sapiens	7014	TERF2	Telomeric repeat-binding factor 2	dot blot with S9.6 (29358759)	3	29358759	binding to TERRA-like RNA and promoting efficient RNA invasion and formation of telR-loops (29358759)
179	Homo sapiens	10293	TRAIP	E3 ubiquitin-protein ligase TRAIP	immunofluorescence with S9.6 (12730227)	3	12730227	R-loops may be important in sequestering TRAIP in the nucleoli (12730227)
180	Homo sapiens	1787	TRDMT1	tRNA (cytosine(38)-C(5))-methyltransferase	pull-down assay (32503981)	3	32503981	recruited to DNA damage sites by R-loops for efficient HR (32503981)
181	Homo sapiens	11277	TREX1	Three-prime repair exonuclease 1	HTS (30108179), DRIP-seq (26182405)	3	26182405, 30108179	cellular 3'-to-5' DNA exonuclease, mutant is causal gene of Aicardi-Goutieres syndrome (26182405)
182	Homo sapiens	7320	UBE2B	Ubiquitin-conjugating enzyme E2 B	immunofluorescence with S9.6 (31338941)	3	31338941	safeguarding genome stability against harmful RNA:DNA hybrids (31338941)
183	Homo sapiens	84132	USP42	Ubiquitin carboxyl-terminal hydrolase 42	dot blot with S9.6 (32541651)	3	32541651	interacting with DHX9 and recruiting BRCA1 (32541651)
184	Homo sapiens	7514	XPO1	Exportin-1	HTS (30108179), immunofluorescence with S9.6 (25623070)	3	30108179, 25623070	regulating transport of RNA:DNA hybrids from the nucleus to the cytosol (25623070)
185	Homo sapiens	91746	YTHDC1	YTH domain-containing protein 1	HTS (29742442), immunofluorescence with S9.6 (32615088)	3	29742442, 32615088	preventing possibly m6A-modified RNAs from being degraded or by facilitating RNA hybridization with DNA (32615088)
186	Homo sapiens	8882	ZPR1	Zinc finger protein ZPR1	immunofluorescence with S9.6 (31828288)	3	31828288	preventing R-loop formation (31828288)
187	Homo sapiens	23	ABCF1	ATP-binding cassette sub-family F member 1	HTS (29742442, 30108179)	4	29742442, 30108179	-
188	Homo sapiens	22985	ACIN1	Apoptotic chromatin condensation inducer in the nucleus	HTS (29742442, 30108179)	4	29742442, 30108179	-
189	Homo sapiens	226	ALDOA	Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase	HTS (29742442, 30108179)	4	29742442, 30108179	-
190	Homo sapiens	10189	ALYREF	THO complex subunit 4	HTS (29742442, 30108179)	4	29742442, 30108179	-
191	Homo sapiens	27350	APOBEC3C	DNA dC->dU-editing enzyme APOBEC-3C	HTS (29742442, 30108179)	4	29742442, 30108179	-
192	Homo sapiens	10576	CCT2	T-complex protein 1 subunit beta	HTS (29742442, 30108179)	4	29742442, 30108179	-
193	Homo sapiens	7203	CCT3	T-complex protein 1 subunit gamma	HTS (29742442, 30108179)	4	29742442, 30108179	-
194	Homo sapiens	10575	CCT4	T-complex protein 1 subunit delta	HTS (29742442, 30108179)	4	29742442, 30108179	-
195	Homo sapiens	908	CCT6A	T-complex protein 1 subunit zeta	HTS (29742442, 30108179)	4	29742442, 30108179	-
196	Homo sapiens	10694	CCT8	T-complex protein 1 subunit theta	HTS (29742442, 30108179)	4	29742442, 30108179	-
197	Homo sapiens	988	CDC5L	Cell division cycle 5-like protein	HTS (29742442, 30108179)	4	29742442, 30108179	-
198	Homo sapiens	1072	CFL1	Cofilin-1	HTS (29742442, 30108179)	4	29742442, 30108179	-
199	Homo sapiens	1213	CLTC	Clathrin heavy chain 1	HTS (29742442, 30108179)	4	29742442, 30108179	-
200	Homo sapiens	55907	CMAS	N-acylneuraminate cytidylyltransferase	HTS (29742442, 30108179)	4	29742442, 30108179	-
201	Homo sapiens	11151	CORO1A	Coronin-1A	HTS (29742442, 30108179)	4	29742442, 30108179	-
202	Homo sapiens	1615	DARS1	Aspartate--tRNA ligase, cytoplasmic	HTS (29742442, 30108179)	4	29742442, 30108179	-
203	Homo sapiens	1642	DDB1	DNA damage-binding protein 1	HTS (29742442, 30108179)	4	29742442, 30108179	-
204	Homo sapiens	1654	DDX3X	ATP-dependent RNA helicase DDX3X	HTS (29742442, 30108179)	4	29742442, 30108179	-
205	Homo sapiens	9879	DDX46	Probable ATP-dependent RNA helicase DDX46	HTS (29742442, 30108179)	4	29742442, 30108179	-
206	Homo sapiens	1656	DDX6	Probable ATP-dependent RNA helicase DDX6	HTS (29742442, 30108179)	4	29742442, 30108179	-
207	Homo sapiens	22907	DHX30	Putative ATP-dependent RNA helicase DHX30	HTS (29742442, 30108179)	4	29742442, 30108179	-
208	Homo sapiens	170506	DHX36	Probable ATP-dependent RNA helicase DHX36	HTS (29742442, 30108179)	4	29742442, 30108179	-
209	Homo sapiens	1736	DKC1	H/ACA ribonucleoprotein complex subunit 4	HTS (29742442, 30108179)	4	29742442, 30108179	-
210	Homo sapiens	9093	DNAJA3	DnaJ homolog subfamily A member 3, mitochondrial	HTS (29742442, 30108179)	4	29742442, 30108179	-
211	Homo sapiens	1786	DNMT1	DNA (cytosine-5)-methyltransferase 1	HTS (29742442, 30108179)	4	29742442, 30108179	-
212	Homo sapiens	1915	EEF1A1	Elongation factor 1-alpha 1	HTS (29742442, 30108179)	4	29742442, 30108179	-
213	Homo sapiens	1937	EEF1G	Elongation factor 1-gamma	HTS (29742442, 30108179)	4	29742442, 30108179	-
214	Homo sapiens	1938	EEF2	Elongation factor 2	HTS (29742442, 30108179)	4	29742442, 30108179	-
215	Homo sapiens	9343	EFTUD2	116 kDa U5 small nuclear ribonucleoprotein component	HTS (29742442, 30108179)	4	29742442, 30108179	-
216	Homo sapiens	5610	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase	HTS (29742442, 30108179)	4	29742442, 30108179	-
217	Homo sapiens	1965	EIF2S1	Eukaryotic translation initiation factor 2 subunit 1	HTS (29742442, 30108179)	4	29742442, 30108179	-
218	Homo sapiens	1968	EIF2S3	Eukaryotic translation initiation factor 2 subunit 3	HTS (29742442, 30108179)	4	29742442, 30108179	-
219	Homo sapiens	8664	EIF3D	Eukaryotic translation initiation factor 3 subunit D	HTS (29742442, 30108179)	4	29742442, 30108179	-
220	Homo sapiens	1973	EIF4A1	Eukaryotic initiation factor 4A-I	HTS (29742442, 30108179)	4	29742442, 30108179	-
221	Homo sapiens	9775	EIF4A3	Eukaryotic initiation factor 4A-III	HTS (29742442, 30108179)	4	29742442, 30108179	-
222	Homo sapiens	1984	EIF5A	Eukaryotic translation initiation factor 5A-1	HTS (29742442, 30108179)	4	29742442, 30108179	-
223	Homo sapiens	9669	EIF5B	Eukaryotic translation initiation factor 5B	HTS (29742442, 30108179)	4	29742442, 30108179	-
224	Homo sapiens	2023	ENO1	Alpha-enolase	HTS (29742442, 30108179)	4	29742442, 30108179	-
225	Homo sapiens	7430	EZR	Ezrin	HTS (29742442, 30108179)	4	29742442, 30108179	-
226	Homo sapiens	25940	FAM98A	Protein FAM98A	HTS (29742442, 30108179)	4	29742442, 30108179	-
227	Homo sapiens	2091	FBL	rRNA 2-O-methyltransferase fibrillarin	HTS (29742442, 30108179)	4	29742442, 30108179	-
228	Homo sapiens	81608	FIP1L1	Pre-mRNA 3-end-processing factor FIP1	HTS (29742442, 30108179)	4	29742442, 30108179	-
229	Homo sapiens	2483	FRG1	Protein FRG1	HTS (29742442, 30108179)	4	29742442, 30108179	-
230	Homo sapiens	8087	FXR1	Fragile X mental retardation syndrome-related protein 1	HTS (29742442, 30108179)	4	29742442, 30108179	-
231	Homo sapiens	10146	G3BP1	Ras GTPase-activating protein-binding protein 1	HTS (29742442, 30108179)	4	29742442, 30108179	-
232	Homo sapiens	9908	G3BP2	Ras GTPase-activating protein-binding protein 2	HTS (29742442, 30108179)	4	29742442, 30108179	-
233	Homo sapiens	26354	GNL3	Guanine nucleotide-binding protein-like 3	HTS (29742442, 30108179)	4	29742442, 30108179	-
234	Homo sapiens	23560	GTPBP4	Nucleolar GTP-binding protein 1	HTS (29742442, 30108179)	4	29742442, 30108179	-
235	Homo sapiens	3009	H1-5	Histone H1.5	HTS (29742442, 30108179)	4	29742442, 30108179	-
236	Homo sapiens	3017	H2BC5	Histone H2B type 1-D	HTS (29742442, 30108179)	4	29742442, 30108179	-
237	Homo sapiens	3065	HDAC1	Histone deacetylase 1	HTS (29742442, 30108179)	4	29742442, 30108179	-
238	Homo sapiens	55127	HEATR1	HEAT repeat-containing protein 1	HTS (29742442, 30108179)	4	29742442, 30108179	-
239	Homo sapiens	10949	HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0	HTS (29742442, 30108179)	4	29742442, 30108179	-
240	Homo sapiens	3178	HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1	HTS (29742442, 30108179)	4	29742442, 30108179	-
241	Homo sapiens	3181	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	HTS (29742442, 30108179)	4	29742442, 30108179	-
242	Homo sapiens	220988	HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3	HTS (29742442, 30108179)	4	29742442, 30108179	-
243	Homo sapiens	3182	HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B	HTS (29742442, 30108179)	4	29742442, 30108179	-
